text,drugs,symptoms,relations
"I have taken ibuprofen for decades for chronic joint pain due to congenital joint defomities and severe DJD. I take it in conjunction with narcotic pain meds and it clearly gives additional pain relief, as it helps decrease inflamation. I do not advise crushing and snorting though, as it burns the nose and throat and is of no recreational value.","['narcotic pain meds', 'ibuprofen']","['chronic joint pain due to congenital joint defomities', 'severe DJD', 'burns the nose and throat']","[('ibuprofen', 'has_positive_reaction', 'chronic joint pain due to congenital joint defomities'), ('ibuprofen', 'has_positive_reaction', 'severe DJD')]"
"I use it for tooth pain.  Had two teeth pulled and it helps relieve pain.  My Mom's Doctor told her not to take ibuprofen since she had a bleeding ulcer and he blamed it on this drug.  he suggested Tylenol arthritis strength.  I am having side effects right now; dizziness, stomach ache, and hard to focus.  I stopped taking it and will call my doctor if the side effects persists.","['Tylenol', 'ibuprofen']","['stomach ache', 'tooth pain', 'dizziness', 'bleeding ulcer', 'hard to focus']","[('ibuprofen', 'has_adverse_drug_reaction', 'bleeding ulcer'), ('Tylenol', 'has_adverse_drug_reaction', 'dizziness'), ('Tylenol', 'has_adverse_drug_reaction', 'stomach ache'), ('Tylenol', 'has_adverse_drug_reaction', 'hard to focus')]"
"Prescribed clindamycin 300 mg, 3x/day for 10 days for an insect bite; previously prescribed oral Bactrim for similar situation a few months ago. Since hx of sulfa allergy, dr changed to this drug. Rash around bite never cleared up. Before tx ended started with rashes - not sure if reaction to this or something else, but was also on prednisone. Not a drug I will take again as ineffective for situation prescribed and seems to be ""overkill"" for my condition. Also felt some intermittent pain in center of chest as well as aching in neck and shoulders.  Read More Read Less","['Bactrim', 'prednisone', 'clindamycin']","['intermittent pain in center of chest', 'rashes', 'insect bite', 'hx of sulfa allergy', 'Rash around bite', 'aching in neck and shoulders']","[('clindamycin', 'has_negative_reaction', 'insect bite')]"
"Prescribed clindamycin for a tooth infection after a two year root canal. I am allergic to penicillin. The medication kicked in about day 2 and I was feeling a lot better.  However on day 3, I began to have severe chest pain, a feeling like something was stuck in my throat, severe burning in my esophagus, no appetite and clay colored stool.  I thought it was just severe heartburn but when it didn't go away after a couple of days, I went to the ER.  They ran all types of tests and all checked out normal--even gave me ""cocktail"" to coat my esophagus, prescribed Pepcid AC for the inflammation of my esophagus and sent me home. I was still in severe pain. Never once did they consider that it was an adverse reaction to the medication.  I returned home and did extensive research and found that several of my symptoms were rare side effects of the medication. I immediately stopped taking it. Things got worse before they got better. My chest pain and burning sensation episodes intensified as well as the onset of bloody diarrhea. This lasted for another 2-3 days.  I am feeling much better but I have now been off of it for about 7 days and I no longer have the burning in my esophagus and can eat something other than soup, and no more diarrhea or crazy colored stool.  I'd take extreme CAUTION when taking this drug as the side effects are grueling!  I hope my infection is cleared up because I refuse to go back on it.Read More Read Less","['penicillin', 'clindamycin', 'Pepcid AC']","['severe burning in my esophagus', 'severe heartburn', 'tooth infection', 'no appetite', 'bloody diarrhea', 'feeling like something was stuck in my throat', 'severe chest pain', 'clay colored stool', 'inflammation of my esophagus']","[('clindamycin', 'has_positive_reaction', 'tooth infection'), ('clindamycin', 'has_adverse_drug_reaction', 'severe chest pain'), ('clindamycin', 'has_adverse_drug_reaction', 'feeling like something was stuck in my throat'), ('clindamycin', 'has_adverse_drug_reaction', 'severe burning in my esophagus'), ('clindamycin', 'has_adverse_drug_reaction', 'no appetite'), ('clindamycin', 'has_adverse_drug_reaction', 'clay colored stool'), ('clindamycin', 'has_adverse_drug_reaction', 'severe heartburn')]"
"Dentist gave me amoxicillin for an infection in gums from bad tooth. After several days swelling and pain were getting worse so I requested something stronger and it was clindamycin 300.  It worked very well on the infection, but the watery bowel movements have been going on for more than 6 weeks.  I called about this and then was given more amoxicillin.  Have been doing the yogurt, probiotics (orally 10 strains) and now for the last few days I have severe abdominal pain in the morning as well.  After reading over 100 posts here, I think about 5 had no side effects, which is a pretty bad indicator that something should be done about finding an answer to all this horrible suffering !Read More Read Less","['probiotics', 'amoxicillin', 'clindamycin']","['severe abdominal pain', 'infection in gums from bad tooth', 'watery bowel movements', 'swelling', 'pain']","[('amoxicillin', 'has_negative_reaction', 'swelling'), ('amoxicillin', 'has_negative_reaction', 'pain'), ('clindamycin', 'has_adverse_drug_reaction', 'watery bowel movements'), ('clindamycin', 'has_positive_reaction', 'infection in gums from bad tooth')]"
"I was given clindamycin for a dental issue,  After four days it was making me sick so I stopped taking it . When I was taking it I was eating kefir and yogurt to make sure my gut would be ok. Apparently you can have side effects weeks after you take it  I should of known better and never taken this antibiotic . It's now 45 days later my stomach is slowly getting better but still acts up .My naturopath tested me for h pylori that was negative and waiting for the c diff test. If that is positive I  will be having my naturopath treat me no more antibiotics  for me ever, I will just go the naturopathic IV route
which is safer and just as effectiveRead More Read Less","['kefir', 'clindamycin', 'antibiotic']","['stomach is slowly getting better', 'making me sick']",[]
"I was diagnosed with a celulitis infection on my finger, that created a red line from the point of infection half way down my arm. They gave me an iv in the doctor's office and that caused extreme itching in scalp and redness all over face and neck, they immediately stopped and gave me bactrim and told me to take two twice a day and watch for symptons. however I am leaving the country and my daughter is getting married and I am so scared after I read this site to continue this medicine. Some of the side effects seem to happen when your well into the doseage. I don't know what to do ? I am so anxious. I don't even want to pack. I am thinking the worse. I am wondering what I should take with me in case I develop severe side effects. I am not sure the Domnican Republic will have the sophistacation to deal with any problems. I will be there almost a week before the wedding starts. I hope I make it.Read More Read Less",['bactrim'],"['redness all over face and neck', 'anxious', 'celulitis infection on my finger', 'red line from the point of infection half way down my arm', 'extreme itching in scalp']",[]
I am sick of vomiting up blood and going yo the emergency room!!!!!   I will quit taking warfarin NOW!!!!    IT IS RAT POISON!!!!!  I AM NOT A RAT!!!!,['warfarin'],['vomiting up blood'],"[('warfarin', 'has_adverse_drug_reaction', 'vomiting up blood')]"
"I had a DVT and pulmonary embolism in Nov 2010 when I was 18. There aren't many options when you are faced with a situation like this, and although warfarin is a hassle to take, it is lifesaving. The last 7 months I was on the warfarin though, I stopped having a menstrual cycle, then as I got off of it, I have had vaginal bleeding and clotting daily, not sure if related to coming off of the warfaring though. Also, it really affected my moods.",['warfarin'],"['stopped having a menstrual cycle', 'vaginal bleeding', 'DVT', 'affected my moods', 'pulmonary embolism', 'clotting daily']","[('warfarin', 'has_adverse_drug_reaction', 'stopped having a menstrual cycle'), ('warfarin', 'has_positive_reaction', 'pulmonary embolism'), ('warfarin', 'has_positive_reaction', 'DVT')]"
Due to hospital negligence I got a DVT which traveled to my lung. I initially had problems controlling my INR readings.  I was talking to a group of doctors when one of them asked me if I was taking DOXICYCLINE and he told me that that was my problem.  Switched to another antibiotic and since then I have had no problems.  I asked my DR about these new drugs that do not require freqent blood tests for INR levels.  BAD news.  There is no way to reverse the anticlotting if you have an overdose or get injured where you need to clot you blood.  With warfarin a simple injection of Vit K immediately allows your blood to clotRead More Read Less,"['DOXICYCLINE', 'warfarin']","['problems controlling my INR readings', 'traveled to my lung', 'DVT']","[('DOXICYCLINE', 'has_adverse_drug_reaction', 'problems controlling my INR readings')]"
taking warfarin oral after detecting DVT in my left leg since last one month.I feel heaviness in my top portion of head sometimes.But it has worked for me and my INR has come to 2.3.,['warfarin'],"['DVT in my left leg', 'heaviness in my top portion of head']","[('warfarin', 'has_adverse_drug_reaction', 'heaviness in my top portion of head')]"
"I have an underlying blood condition called THROMBOCYTHEMIA, and recently had a brain tumor removed. While in the hospital, I was given daily heparin shots. Unbeknownst to the medical staff and myself, heparin was taking my platelets and actually turning them into bloodclots. I was back in hospital a week later, diagnosed bloodclots. Was given more heparin, which sent into respiratory arrest. I have been on 5mg warfarin since January 2014. My levels are in the 2.5 - 3.5. And recently found Will be on warfarin the rest of my life. That is little depressing, but considering the alternative, I guess is bestRead More Read Less","['heparin', 'warfarin']","['brain tumor', 'respiratory arrest', 'underlying blood condition called THROMBOCYTHEMIA', 'bloodclots']","[('heparin', 'has_adverse_drug_reaction', 'bloodclots'), ('heparin', 'has_adverse_drug_reaction', 'respiratory arrest')]"
I was placed on warfarin after a pulmonary embolism. I also have protein S deficeincy. Some pharmacies stopped carring warfarin and replaced it with Jantavin. It did not work as well. I ended up with several small clots in my lung until they switched me back to warfarin. I had to change pharmacies to get it back.,"['Jantavin', 'warfarin']","['pulmonary embolism', 'several small clots in my lung', 'protein S deficeincy']","[('Jantavin', 'has_negative_reaction', 'pulmonary embolism'), ('warfarin', 'has_positive_reaction', 'pulmonary embolism'), ('warfarin', 'has_positive_reaction', 'several small clots in my lung')]"
after aortic valve replacement after 4yrs and 9 months i m suffering of dental pain i m using warfarin 5 mg OD. which antibiotic and pain killer will be suitable for dental infection bcz it pains like hell,['warfarin'],"['pains like hell', 'dental pain', 'dental infection']",[]
I have been on warfarin for 5 months so far. I get retested for my clots in my leg in July. I am still experiencing some moderate pain in my leg and burning in my foot. I am tested about every two weeks for INR. I have had a real problem with keeping my level between 2 and 3. I can't figure out what I have ate or drank that makes it flucuate so much.  My diet is usually the same with no changes. I don't drink alcohol or eat cranberries anymore. I am fatigued most of the time and have dizziness off an on. I am unsure of what I should report to the doctor. I know it takes time to recover and I am not sure whether what I am experiencing is part of that process.Read More Read Less,['warfarin'],"['moderate pain in my leg', 'clots in my leg', 'dizziness off an on', 'fatigued most of the time', 'burning in my foot']",[]
"I have been on warfarin since I was 17. I am now 28. I have a rare hyper-coagulating blood disorder and if my blood is not therapeutic I clot right away. This drug has kept me alive. The ability for it to stay in my system keeps it more manageable. Yes I do have blood draws every month to make sure I'm at the right level but it's a small price to pay. The only side effects I have had is when levels were too high and they included bruising, fever, fatigue, muscle pain, and abnormal bowel habits. But as long as I'm at the right level, which is 95% of the time, all is well. I recommend contacting your doctor if you get ill, have an infection or get pregnant. The only qualms I have is that not many medications can be taken with warfarin. This pill sure beats having to take any other anti-coagulant which can only be taken by injection or I.V. All in all, I'm extremely happy with my outcome.Read More Read Less",['warfarin'],"['muscle pain', 'fatigue', 'bruising', 'abnormal bowel habits', 'fever', 'hyper-coagulating blood disorder']",[]
"I have been on warfarin for approximately 6 years.  It eases my mind to know that it will help prevent another clot, however I seem to have moderate hair loss (when showering and combing my hair) and I bruise much easier.  I monitor my INR weekly and still enjoy most of the foods I did before taking this medication.  It is not about not eating things you like, just eating them in moderation.",['warfarin'],"['moderate hair loss', 'clot', 'bruise much easier']","[('warfarin', 'has_positive_reaction', 'clot'), ('warfarin', 'has_adverse_drug_reaction', 'moderate hair loss'), ('warfarin', 'has_adverse_drug_reaction', 'bruise much easier')]"
"Had severe pain in lower chest.  Did nothing for 2 days, thought it was nothing.  Then couldn't breathe, pain with short breaths.  In hospital 7 days.  Now home and on warfarin, for 8 mos.  Have some sides like cold, irritable and mild bleeding.  They told me it was caused by DVT after long drive home.  Regulating INR was not so bad.  Now about 1.5 regulated.  I'm off asperin but take statin and omeprasole.  Have wine nearly every night.  I feel fine but worry after reading all the comments above.  Also have not yet had scan to see if clots are gone.  Wondering how long I need to take it. It saved my life but I can do without it.  A friend had PE and was taken off it.  He died.Read More Read Less","['asperin', 'omeprasole', 'warfarin', 'statin']","[""couldn't breathe"", 'pain with short breaths', 'cold', 'DVT', 'severe pain in lower chest', 'irritable', 'clots', 'mild bleeding']","[('warfarin', 'has_adverse_drug_reaction', 'cold'), ('warfarin', 'has_adverse_drug_reaction', 'irritable'), ('warfarin', 'has_adverse_drug_reaction', 'mild bleeding')]"
"I got on warfarin 6 months ago after a pulmonary embolism.  It has been a challenge to keep my INR in check.  The fact that I haven't had any more clots is a good sign.  I don't have the energy I used to before wafarin and I notice that my moods seem to swing pretty dramatically, patience levels are not great.  Not sure if that is due to the warfarin or to the stress of all the stuff that has been going on since the surgery and subsequent clots.  I hope to be off this stuff soon.",['warfarin'],"[""haven't had any more clots"", 'patience levels are not great', 'moods seem to swing pretty dramatically', ""don't have the energy I used to"", 'pulmonary embolism']","[('warfarin', 'has_positive_reaction', ""haven't had any more clots"")]"
"I spent a week in the hospital after being diagnosed with PEs and DVTs, did the lovenox injections and warfarin to regulate the INR...but unfortunately my INR is NEVER within therapeutic levels....it is always waaay up or waaay down.  I""m now taking 20 mg of warfarin a day.  LOTS of muscle and joint pain...I've gain weight from this med, numbness in my feet, toes, legs, swelling in my legs/knee area. General overall discomfort from this med.  I have a postive Factor V on top of it all...so I may be on some type of anticoagluent for life.  All this was caused by birth control pills!  My MD is considering switching me to Xarelto to see if my physical discomfort goes away, but from what I""m reading on the reviews....I doubt it! Read More Read Less","['warfarin', 'lovenox', 'Xarelto', 'birth control pills']","['muscle and joint pain', 'INR is NEVER within therapeutic levels', 'numbness in my feet, toes, legs', 'swelling in my legs/knee area', 'gain weight', 'PEs', 'DVTs', 'postive Factor V']","[('warfarin', 'has_adverse_drug_reaction', 'muscle and joint pain'), ('warfarin', 'has_adverse_drug_reaction', 'gain weight'), ('warfarin', 'has_adverse_drug_reaction', 'numbness in my feet, toes, legs'), ('warfarin', 'has_adverse_drug_reaction', 'swelling in my legs/knee area')]"
"In February 2008 I was hospitalized with multiple bilateral pulminary embolisms and a deep vein thrombosis. I have been taking warfarin since. It turns out I have a blood disorder called lupus anticoagulant. I will be on warfarin for the rest of my life which is just fine by me because IT IS KEEPING ME ALIVE! I don't recall experiencing ""known"" side effects in the begining and don't experience any now, but I am suspicious that it has caused me to have vivid, novelesque dreams.",['warfarin'],"['blood disorder called lupus anticoagulant', 'deep vein thrombosis', 'multiple bilateral pulminary embolisms']",[]
I am a 43 yr old female.  I developed a pulmonary embolisim in october 2009.  I have been on warfarin since November.  I am on 15 milligrams aday.  My blood levels have dropped to 1.1.  I am very concerned.  How much is too much?  I go about every two week for blood draws.  The highest my levels have been is 1.6.  I am very tired but cannot sleep.  This has been going on now for 2 months.  Does anyone have any advice?,['warfarin'],"['pulmonary embolisim', 'blood levels have dropped to 1.1', 'very tired but cannot sleep']","[('warfarin', 'has_positive_reaction', 'blood levels have dropped to 1.1'), ('warfarin', 'has_adverse_drug_reaction', 'very tired but cannot sleep')]"
My husband died from internal bleeding because the Kaiser doctors kept my husband on warfarin for more than six years and ignored his symptoms.  Warfarin is a very dangerous drug and patients are not being informed of this.  It is possible that the doctors are ignorant of this also.  Kaiser has decided to put as many old people as possible on warfarin because bleeding incidents are cheaper for them to treat than are stroke incidents.  This is very bad medicine.  Patients are made to suffer and have their lives shortened.   Read More Read Less,['warfarin'],['internal bleeding'],"[('warfarin', 'has_adverse_drug_reaction', 'internal bleeding')]"
"I don't know if they are all related to warfarin, or by interaction with the other meds I have to take, but I have had quite a few side effects. The most distressing problem, which seems to be getting worse, is blurry vision. I have to have my eyes checked every 6 months because of a med I have to take for Lupus. This drug does not cause blurriness, it has a different affect on the eye so I'm certain it's not that med. I had my eyes checked 12/07 & got new glasses (which I knew I needed). I had my next 6 month appt very recently & my vision acquity was exactly as it was in December. However, the later in the day, or the more I've used them, the blurrier my closeup world gets. I'm very near-sighted, so for the most part it's easier for me to take my glasses off to read vs. using bifocals. Since this problem started getting much worse, I have to enlarge the characters at most websites by 125-150%. Thank you WebMD for the option of enlarging the characters at your site--it is most appreciated! I wish all sites had that option!  When typing in website addresses, I have to get within a few inches of my monitor in order to read whats been typed or to read any website address.  I'm still trying to research warfarin to see if I can find additional info about this increasingly problematic condition. It's very likely I'm on so many medications that it is attributable to the combination of the warfarin with something else I'm taking--I don't have enough information to rule anything out yet. I just know it started after I started warfarin after pulmonary embolisms hit me the end of Nov. 2007. I was sent home 5 days later having to add warfarin to my medication list.    The list is quite long because I have to take meds for: lupus, fibromyalgia & neuropathies(hard to seperate),mild high blood pressure,antidepressant & tricyclics,supplemental B12 & Vit D, urological meds,asthma,pain meds, & a med to reduce risk of diabetes. Hard to know where to look because of so many.Read More Read Less",['warfarin'],"['blurrier my closeup world gets', 'pulmonary embolisms', 'blurry vision']",[]
"I had multiple PE's after a rough winter of coughing and pain in my lungs. I could not take deep breaths and was given steroids and antibiotics on 2 different trips to Dr. because I wasn't getting better. These of course still did not work so my Dr. thought he better check me for blood clots. Yep, I had plenty in my lungs along with some dead lung tissue due to damage. I was in the hospital a week getting my INR to stabilize. I am currently on 6mg daily after smaller doses just weren't enough. This is my 3rd month of taking warfarin. I also noticed the weight gain others spoke about. Watch what you eat and get active ASAP when your doctor clears you. My metabolism has changed. No idea how I got the clots, every test is normal. I ran 30 miles per week before clots and I am now up to 25. I am trying to stay more active to combat these dumb pills. I see my doctor the end of May and I am begging to get off these things. Almost forgot, my periods have been MUCH heavier and longer. Also, the cramping is more severe than I have ever had. Read More Read Less","['antibiotics', 'warfarin', 'steroids']","['metabolism has changed', 'coughing', 'weight gain', 'could not take deep breaths', 'cramping is more severe', 'blood clots', 'periods have been MUCH heavier and longer', 'pain in my lungs', 'dead lung tissue', ""multiple PE's""]","[('steroids', 'has_negative_reaction', 'could not take deep breaths'), ('antibiotics', 'has_negative_reaction', 'could not take deep breaths'), ('warfarin', 'has_adverse_drug_reaction', 'weight gain'), ('warfarin', 'has_adverse_drug_reaction', 'metabolism has changed'), ('warfarin', 'has_adverse_drug_reaction', 'periods have been MUCH heavier and longer'), ('warfarin', 'has_adverse_drug_reaction', 'cramping is more severe')]"
Have ingested warfarin or about three years after coronary infarction.  INR has been all over charts. Consuming 5.0 or 7.5 mg. Last INR was 2.1  highest was 4.7 low was 1.1.  Could have been affected by other medications.  Understand warfarin will cause weakness of muscles and joints.  Is this correct?,['warfarin'],['weakness of muscles and joints'],"[('warfarin', 'has_adverse_drug_reaction', 'weakness of muscles and joints')]"
"I say thank goodness for warfarin. I have an artificial aortic valve, so if I were to get a blood clot it would kill me. I'm 23 and I've been on this drug for just under 4 years now. It is hard at times because yes, I do occasionally have a drink, but it sends my INR into a frenzy. With a quick dose change I'm usually back to normal. I avoid greens altogether, because it's basically, eat them regularly, or don't eat them at all... Other than that, I had to switch to Lovenox for the first trimester of my pregnancy, but that's okay. Besides the med changes and close monitoring, even pregnancy and childbirth were okay. I don't see what everyone is complaining about. It's keeping me alive. So for me, it's fine. Read More Read Less","['warfarin', 'Lovenox']","['sends my INR into a frenzy', 'artificial aortic valve', 'blood clot']",[]
The AMA has released a notice about warfarin and the calcification of arteries. Neither of my doctors have taken the warning to seriously but I'm worried. This effect on top of my arteriosclerosis can not be good. My drug Ins. has refused to OK a different anti coagulant. I don't know how effective it is. I had two mini strokes about two years ago and none since. The only effect from the mini strokes was a slight change in my right eye.,['warfarin'],"['mini strokes', 'calcification of arteries', 'slight change in my right eye', 'arteriosclerosis']","[('warfarin', 'has_adverse_drug_reaction', 'calcification of arteries')]"
I have taken warfarin for A Fib and Deep Vein Blood clot for 2 year.  Have lost a lot of hair is main problem.  Changed to Pradaxa this week.  Don't have to have Pro time blood test any more. Hope it helps my hair problem   anyone else having hair loss.,"['Pradaxa', 'warfarin']","['lost a lot of hair', 'A Fib', 'Deep Vein Blood clot']","[('warfarin', 'has_adverse_drug_reaction', 'lost a lot of hair')]"
after 4 months on warfarin I began to have heavy menstrual cycles that lasted most of the month. I often had to change my pads several times within 30 minutes. The first menstrual cycle after stopping warfarin my cycle went back to a normal 3-4 days a month with very little to normal bleeding.,['warfarin'],['heavy menstrual cycles'],"[('warfarin', 'has_adverse_drug_reaction', 'heavy menstrual cycles')]"
"Started  taking 1 1/2 years ago. Switched doctors two weeks ago. Told her severe muscle pain everywhere, especially my right arm and right leg. Have been going to the chiropractor and just recently three trips to acupunture. The new doctor immediately told me to stop. I was on 10mg. I also have had itching on arms and legs. Never put it all together. Been two weeks and seems to be subsiding. Never considered it was pravastatin.",['pravastatin'],"['severe muscle pain everywhere', 'itching on arms and legs']","[('pravastatin', 'has_adverse_drug_reaction', 'severe muscle pain everywhere'), ('pravastatin', 'has_adverse_drug_reaction', 'itching on arms and legs')]"
been on pravastatin for obout one year.  My chol. went down a lot but about 3 mo. into it I started a dry cough this progressed to a persistent cough with a feeling of not getting a full breath.  Then I started wheezing when lying down and my cough turned to choking bouts.  By then I started suspecting my med.- its the only med I am on.  So I looked on a few web sites and found others with same probems-so I stopped taking it and by the third day the full feeling in my lungs was gone-by the end of week coughing slowed down and now a week and a half later only shows up a night when I first lay down.I am 100% sure the pravastatin caused this I might be able to live with high chol. but I sure can't live with non-functioning lungs.  No more statins for me.Read More Read Less,['pravastatin'],"['wheezing when lying down', 'feeling of not getting a full breath', 'coughing slowed down', 'full feeling in my lungs', 'dry cough', 'cough turned to choking bouts', 'non-functioning lungs', 'persistent cough']","[('pravastatin', 'has_adverse_drug_reaction', 'dry cough'), ('pravastatin', 'has_adverse_drug_reaction', 'persistent cough'), ('pravastatin', 'has_adverse_drug_reaction', 'feeling of not getting a full breath'), ('pravastatin', 'has_adverse_drug_reaction', 'wheezing when lying down'), ('pravastatin', 'has_adverse_drug_reaction', 'cough turned to choking bouts')]"
"I switched to this from Lipitor, about four months ago, because I couldn't afford the latter. But I am worried that aching legs/circulation? may be attributable to taking pravastatin.","['pravastatin', 'Lipitor']","['aching legs', 'circulation']","[('pravastatin', 'has_adverse_drug_reaction', 'aching legs'), ('pravastatin', 'has_adverse_drug_reaction', 'circulation')]"
"Taking pravastatin 20mg for one year to treat high cholesterol. Works fine for me, numbers are lower, not many side effects...a bit of occasional hip pain.",['pravastatin'],"['high cholesterol', 'occasional hip pain']","[('pravastatin', 'has_positive_reaction', 'high cholesterol'), ('pravastatin', 'has_adverse_drug_reaction', 'occasional hip pain')]"
